"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"117";"6035_2_G";"c";"b";"10.05.2019";"09.06.2019";30;"yes";450,2;108,41;139,39;71,46;36,95;34,08;434;14,85;73,41;16,84;47;16,6333333333333;805,6333333;8,686666667
"118";"6035_2_G";"c";"b";"10.05.2019";"09.06.2019";30;"no";449,5;108,24;148,05;57;51,24;47,34;434;14,85;73,41;16,84;47;16,6333333333333;805,6333333;8,686666667
"119";"6035_2_U";"c";"d";"10.05.2019";"09.06.2019";30;"yes";450,7;108,53;142,58;80,3;28,23;26,01;358;16,49;69,07;18,76;45;16,7333333333333;773,6333333;8,778333333
"120";"6035_2_U";"c";"d";"10.05.2019";"09.06.2019";30;"no";450,1;108,38;240,58;58,94;49,44;45,62;358;16,49;69,07;18,76;45;16,7333333333333;773,6333333;8,778333333
"121";"6035_3_A";"c";"c";"10.05.2019";"09.06.2019";30;"yes";450;108,36;107,61;71,57;36,79;33,95;423;14,72;74,9;16,58;47,3333333333333;16,4;796,4666667;8,546944444
"122";"6035_3_A";"c";"c";"10.05.2019";"09.06.2019";30;"no";450,5;108,48;219,97;60,95;47,53;43,81;423;14,72;74,9;16,58;47,3333333333333;16,4;796,4666667;8,546944444
"123";"6035_3_F";"c";"a";"10.05.2019";"09.06.2019";30;"yes";450,6;108,5;44,67;40,81;67,69;62,39;429;14,78;73,2;17,34;43,3333333333333;16,6333333333333;737,1333333;8,846944444
"124";"6035_3_F";"c";"a";"10.05.2019";"09.06.2019";30;"no";449,9;108,34;75,16;52,51;55,83;51,53;429;14,78;73,2;17,34;43,3333333333333;16,6333333333333;737,1333333;8,846944444
"125";"6035_3_U";"c";"d";"10.05.2019";"09.06.2019";30;"yes";450,5;108,48;110,76;53,3;55,18;50,87;343;15,35;74,55;17,3;44,3333333333333;16,8333333333333;731,6333333;8,929722222
"126";"6035_3_U";"c";"d";"10.05.2019";"09.06.2019";30;"no";450;108,36;236,06;69,2;39,16;36,14;343;15,35;74,55;17,3;44,3333333333333;16,8333333333333;731,6333333;8,929722222
